Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,MSFT,TSLA,AAPL,AMZN,GOOG,MSFT,TSLA,AAPL,AMZN,GOOG,MSFT,TSLA,AAPL,AMZN,GOOG,MSFT,TSLA,AAPL,AMZN,GOOG,MSFT,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,40.341896057128906,59.45050048828125,52.85358810424805,79.05039978027344,21.368667602539062,40.351265734431266,59.5,52.9498661229892,79.38150150429759,21.474000930786133,39.63932034581606,58.5255012512207,51.87244815150404,78.63652613371741,20.733333587646484,39.85009520330083,58.599998474121094,52.02678907009557,79.2159506422855,20.799999237060547,102223600,53890000,24752000,22483800,65283000
2018-01-03,40.33484649658203,60.209999084472656,53.72108459472656,79.41827392578125,21.149999618530273,40.87817310411063,60.27450180053711,53.910164817581695,79.56543333390027,21.683332443237305,40.27161729323556,59.415000915527344,52.76475622018498,79.06878085691875,21.036666870117188,40.40510474044972,59.415000915527344,52.819347085920995,79.15155276127561,21.399999618530273,118071600,62176000,28604000,26061400,67822500
2018-01-04,40.522212982177734,60.47949981689453,53.91563034057617,80.11727142333984,20.974666595458984,40.62525796148265,60.79349899291992,54.27146301580238,80.62312314498602,21.23666763305664,40.29973145330602,60.233001708984375,53.796623149447996,79.62061891943647,20.3786678314209,40.407457696409296,60.25,53.99503662139257,79.63901033797488,20.857999801635742,89738400,60442000,20092000,21912000,149194500
2018-01-05,40.98356628417969,61.457000732421875,54.70122528076172,81.11058044433594,21.10533332824707,41.07021610938013,61.457000732421875,54.80147511841195,81.31292114300582,21.14933204650879,40.526892974566934,60.5,54.193531811675086,80.4115872171893,20.799999237060547,40.618227636489486,60.8754997253418,54.29278963899694,80.62312713405713,21.107999801635742,94640000,70894000,25582000,23407100,68868000
2018-01-08,40.831356048583984,62.34349822998047,54.934974670410156,81.1933364868164,22.42733383178711,41.126436533395285,62.65399932861328,55.14986229046725,81.4692568432421,22.468000411987305,40.73299231349569,61.60150146484375,54.670956033017525,80.56792309360482,21.03333282470703,40.831356048583984,61.79999923706055,54.70122749445384,81.11975678951006,21.066667556762695,82271200,85590000,20952000,22113000,147891000
2018-01-09,40.82666015625,62.6349983215332,54.90122985839844,81.1381607055664,22.246000289916992,40.997619183214475,62.96649932861328,55.115125477717996,81.60722253641049,22.586666107177734,40.61120411200408,62.0880012512207,54.651652154598466,80.80705906225842,21.82666778564453,40.8781826422092,62.845001220703125,55.0570625781523,81.53364283413168,22.3439998626709,86336000,73226000,18050000,19484300,107199000
2018-01-10,40.81730270385742,62.71649932861328,54.720096588134766,80.77027130126953,22.31999969482422,40.81964690977428,62.71649932861328,54.81885464520374,81.11057217040523,22.46666717529297,40.51519673980712,61.86149978637695,54.397515206081096,80.39318759698921,22.0,40.55266829963054,62.25749969482422,54.446646231980225,80.80706115336098,22.14666748046875,95839600,53720000,20856000,18652200,64648500
2018-01-11,41.04915237426758,63.83399963378906,54.86450958251953,81.0093994140625,22.530000686645508,41.09833424132138,63.8385009765625,54.91438271949177,81.05538146509458,22.987333297729492,40.864142361699365,62.823001861572266,54.57021566782898,80.23682657708956,22.21733283996582,40.887559405570876,62.98699951171875,54.90321692227562,81.05538146509458,22.349332809448242,74670800,62500000,19566000,17808900,99682500
2018-01-12,41.47303009033203,65.26000213623047,55.69527816772461,82.40739440917969,22.4146671295166,41.53626288466178,65.28800201416016,55.7960240273906,82.5729452618025,22.694000244140625,41.1357932852183,63.669498443603516,54.6476355734461,81.34970879614217,22.244667053222656,41.25991466856103,63.669498443603516,54.710166311283736,81.55204950678649,22.575332641601562,101672400,108874000,34410000,24271500,72376500
2018-01-16,41.262264251708984,65.24299621582031,55.67045593261719,81.25770568847656,22.67066764831543,42.01167748658843,66.99700164794922,56.571197503416414,83.50183702619276,23.0,41.25055394405002,64.61499786376953,55.475518335052726,80.94500254374965,22.31999969482422,41.66273032986267,66.1500015258789,56.20395301666163,82.86722450467084,22.502666473388672,118263600,144414000,31506000,36599700,97114500
2018-01-17,41.943763732910156,64.75,56.17765808105469,82.90402221679688,23.143999099731445,41.97889108266515,65.69999694824219,56.20842933665583,83.03278317295775,23.266666412353516,40.99997081899453,64.04399871826172,55.43472933517314,81.62560485423828,22.649999618530273,41.252894884198874,65.61199951171875,55.89180383174745,81.92911582959427,22.697999954223633,137547200,105076000,24052000,25621200,106552500
2018-01-18,41.98122787475586,64.66600036621094,56.068973541259766,82.86724090576172,22.971332550048828,42.1779517358419,65.2300033569336,56.20396269197885,83.39148400040257,23.48666763305664,41.74469540324496,64.20099639892578,55.459049909433055,82.46256658054813,22.916000366210938,42.00698912004785,64.69750213623047,56.14937182540565,82.59132754997243,23.044666290283203,124773600,80538000,23964000,24159700,85287000
2018-01-19,41.793880462646484,64.72899627685547,56.45209884643555,82.77526092529297,23.334667205810547,42.056174199536976,65.6500015258789,56.469470387810375,83.33629381069784,23.37266731262207,41.54797829756957,64.64949798583984,55.995028148932235,82.46255775215363,22.84000015258789,41.82900781187855,65.5999984741211,56.17021264682469,82.9040218809322,23.0,129700400,91570000,35564000,36875000,73324500
2018-01-22,41.451969146728516,66.3655014038086,57.360294342041016,84.25605010986328,23.437332153320312,41.634638555394616,66.37249755859375,57.562278288368944,84.26524932922608,23.85533332824707,41.35829380968925,64.83300018310547,56.3329992808603,82.53616097033856,23.280000686645508,41.52222743625049,64.8584976196289,56.45111290148227,82.77529155513227,23.293333053588867,108434400,82802000,32360000,23601600,93156000
2018-01-23,41.4613151550293,68.12699890136719,58.063018798828125,84.52275848388672,23.519332885742188,42.02337762529229,68.24500274658203,58.14524964937371,84.890650016027,24.03333282470703,41.40979624606809,66.86699676513672,57.50619424897152,84.19165680665522,23.399999618530273,41.52220731072736,66.90450286865234,57.56078511383782,84.52275848388672,24.0,130756400,103386000,26662000,23412800,81981000
2018-01-24,40.800899505615234,67.87550354003906,57.778648376464844,84.44916534423828,23.05933380126953,41.52221074603233,69.40799713134766,58.55383254325064,85.92992343833319,23.649999618530273,40.56202284665312,66.9000015258789,57.62033563709743,84.22843326683576,22.90133285522461,41.510500440238225,68.74099731445312,58.42827507768663,85.12056780989315,23.6386661529541,204420400,136150000,28332000,33277500,79312500
2018-01-25,40.07257080078125,68.89749908447266,58.08286666870117,84.9182357788086,22.50933265686035,40.9718667190559,68.91699981689453,58.35929301199086,85.75518212486476,23.280000686645508,39.93673908810159,67.88099670410156,57.705198471983415,84.55034426778468,22.426666259765625,40.86882172505862,68.4000015258789,58.19006058441986,85.04699675512492,23.218000411987305,166116000,95060000,29610000,26383200,101104500
2018-01-26,40.16624450683594,70.10250091552734,58.35432815551758,86.50934600830078,22.856666564941406,40.2809998043608,70.12650299072266,58.35432815551758,86.50934600830078,22.933332443237305,39.82666702550764,69.04550170898438,57.47442632113892,85.1481567056461,22.380666732788086,40.2809998043608,69.60050201416016,58.316612830172595,85.644809132381,22.766666412353516,156572000,97146000,40376000,29172200,68091000
2018-01-29,39.33488082885742,70.88400268554688,58.341426849365234,86.38059997558594,23.302000045776367,39.85010239544368,71.56950378417969,58.90271921009497,87.78777858604377,23.389999389648438,39.12645013982312,70.02200317382812,58.162766532632624,86.19665771920546,22.552000045776367,39.85010239544368,70.45899963378906,58.38609382169802,87.50266598356984,22.656667709350586,202561600,114038000,27578000,31569900,71206500
2018-01-30,39.1030158996582,71.89099884033203,57.75136184692383,85.29529571533203,23.05466651916504,39.19669121606022,71.9625015258789,58.38808493883361,86.14144805991683,23.218000411987305,38.571399366691885,69.5999984741211,57.742922184854635,84.70667226854391,22.81133270263672,38.76577904303612,70.15850067138672,57.95681782846756,85.81034649398038,23.00933265686035,184192800,117438000,31126000,38635100,70765500
2018-01-31,39.210750579833984,72.54450225830078,58.061527252197266,87.38308715820312,23.62066650390625,39.447286700813265,73.62899780273438,58.213388139622914,87.74177939997817,23.746000289916992,38.992953814342,72.50199890136719,57.5250503079853,86.00349945385425,23.012666702270508,39.07960367930311,72.56500244140625,58.092790724508866,86.22423152180521,23.167333602905273,129915600,128494000,30774000,48756300,93211500
2018-02-01,39.2927131652832,69.5,57.95035934448242,86.69329833984375,23.28333282470703,39.48943348596959,72.99400329589844,58.263016794147,88.35799868766227,23.977333068847656,39.05383644817289,69.25700378417969,57.445149644736794,86.06788493021335,23.242000579833984,39.149855976180945,72.25,57.69775638775925,87.18075156763948,23.399999618530273,188923200,182276000,48242000,47227900,62965500
2018-02-02,37.587791442871094,71.49749755859375,55.18113327026367,84.41236877441406,22.916667938232422,39.063200793643205,74.9000015258789,55.73547400239868,86.4265689940653,23.463333129882812,37.49411613346626,70.69999694824219,54.95175168171802,84.15484686845686,22.700666427612305,38.875846601349544,73.86949920654297,55.68237115370843,86.12305802621047,23.229333877563477,346375200,222514000,97158000,47867800,55572000
2018-02-05,36.64868927001953,69.5,52.39701461791992,80.9358139038086,22.208667755126953,38.37936715250379,72.9489974975586,55.08683956925645,85.7551717669723,22.96466636657715,36.533933960228474,66.03600311279297,52.209918419745144,80.9358139038086,22.200000762939453,37.259930231139656,70.13099670410156,54.12405935976354,83.29030806286028,22.531333923339844,290954000,229900000,75966000,51031500,66961500
2018-02-06,38.18030548095703,72.14199829101562,53.62778091430664,83.99850463867188,22.264667510986328,38.341898465025935,72.19950103759766,53.68286778353816,84.13646482278153,22.4146671295166,36.065552892674454,67.5895004272461,50.77601975677535,78.40657370940603,21.566667556762695,36.25993260007003,68.072998046875,50.976667118187514,79.91492248392628,21.680667877197266,272975200,221336000,68960000,67998600,76326000
2018-02-07,37.362972259521484,70.83899688720703,52.0386962890625,82.41657257080078,23.0,38.26695309063286,73.04949951171875,53.68633836675751,84.40317527775713,23.066667556762695,37.25290535970743,70.75749969482422,52.022812764842776,82.03948188513654,22.37733268737793,38.194354177070885,72.44999694824219,53.67442667016746,83.22592818964283,22.599332809448242,206434400,143254000,47384000,41107600,104538000
2018-02-08,36.33487319946289,67.5250015258789,49.703216552734375,78.18583679199219,21.01533317565918,37.70489729452759,71.6875,52.536962456967466,82.66489377166425,23.2413330078125,36.30677131393867,67.49700164794922,49.660537387087615,77.95590550500464,20.97333335876465,37.538619467044434,71.48400115966797,52.37765770045382,82.50854218057977,22.887332916259766,217562000,171572000,57182000,55628700,154719000
2018-02-09,36.779293060302734,66.9800033569336,51.50271987915039,81.10134887695312,20.69466781616211,37.12730914186198,69.17500305175781,51.80991748741445,81.79114261076133,21.398666381835938,35.32843847604352,63.29650115966797,49.258549987379055,77.10054662425455,19.650667190551758,36.93449073015276,68.67449951171875,50.483860811368885,79.37226844364069,21.32866668701172,282690400,282830000,70118000,63499100,194005500
2018-02-12,38.260711669921875,69.3115005493164,52.205448150634766,81.97510528564453,21.048667907714844,38.53818298500872,69.69049835205078,52.67989037385945,82.57292807439941,21.205333709716797,37.03794626199481,67.20050048828125,51.658945080736665,80.87143784251744,20.416667938232422,37.270742729099624,68.2334976196289,52.00991608653701,81.6164130157809,21.075332641601562,243278000,134778000,41154000,35720300,93417000
2018-02-13,38.644012451171875,70.72550201416016,52.21338653564453,82.61891174316406,21.577333450317383,38.74042347086671,70.98600006103516,52.52455216894356,82.77526333428399,21.612667083740234,38.011467178226546,69.17649841308594,51.81571911292265,80.75187081511324,20.833999633789062,38.082011914297254,69.29650115966797,51.86102975434887,81.79115770643202,21.001333236694336,130196800,118358000,25302000,26407700,68403000
2018-02-14,39.35649871826172,72.55249786376953,53.08684158325195,83.91256713867188,21.487333297729492,39.39647322333067,72.60299682617188,53.18708764800204,84.07889560579135,21.744667053222656,38.300692420481404,70.16799926757812,51.94788483988162,81.69486364362217,21.23466682434082,38.33831316239398,70.3125,52.057062785079864,81.78726678093133,21.389333724975586,162579600,119184000,31116000,34960900,59260500
2018-02-15,40.67802810668945,73.08799743652344,54.070465087890625,85.62206268310547,22.271333694458008,40.70154062338429,73.4469985961914,54.167685898819904,85.67750315925178,22.274667739868164,39.73979150085741,71.84200286865234,52.820834818034385,83.737008945143,21.49333381652832,39.92555581137809,73.34449768066406,53.551851866182716,84.28219242700305,21.633333206176758,204588800,113054000,36868000,27823900,88693500
2018-02-16,40.54634475708008,72.43450164794922,54.33250045776367,85.01220703125,22.365999221801758,41.10834882844967,73.29000091552734,54.82232645135116,86.39827562415081,22.874666213989258,40.3911506581798,72.3280029296875,54.010562770261636,84.82740070549366,22.109333038330078,40.52988635346286,72.86849975585938,54.01537894322437,85.42802478915647,22.166667938232422,160704400,89452000,33590000,30596900,84639000
2018-02-20,40.40995788574219,73.4175033569336,54.712650299072266,85.67750549316406,22.31800079345703,40.97665865050468,74.4384994506836,55.2828708064444,85.99167759976208,22.722667694091797,40.30884294882415,72.32450103759766,54.020836566065846,84.09738843077885,22.100000381469727,40.456986503540875,72.32450103759766,54.12257443655203,84.53169097217695,22.29800033569336,135722000,129984000,28462000,30911700,60141000
2018-02-21,40.22654724121094,74.14600372314453,55.15333938598633,84.54094696044922,22.219999313354492,40.94374179774385,75.17449951171875,56.276416310642624,86.26891511769071,22.645999908447266,40.21243542540355,73.94599914550781,54.904704476165534,84.54094696044922,22.211332321166992,40.6404041368813,74.25,54.91165233520464,85.91778025708923,22.402000427246094,149886400,126088000,30258000,26922500,48294000
2018-02-22,40.56280517578125,74.26699829101562,54.919593811035156,84.7626953125,23.077999114990234,40.90376716834371,75.12699890136719,55.72306545709481,85.68674079609904,23.16266632080078,40.377040864154694,73.78800201416016,54.7190979034279,84.42079594560164,22.316667556762695,40.39820320572218,74.76799774169922,55.394036046654044,85.0583895852554,22.368667602539062,123967600,97162000,26344000,24392800,104547000
2018-02-23,41.26823806762695,75.0,55.92008972167969,86.9157485961914,23.469999313354492,41.30350863075407,75.0,55.94440533604928,86.92499102847502,23.666000366210938,40.80734904379779,74.32499694824219,54.82450507578839,85.3448735036669,23.139999389648438,40.8379192572101,74.76699829101562,55.21785614175357,86.49068835997784,23.18866729736328,135249600,88362000,25220000,26329200,87261000
2018-02-26,42.08419418334961,76.09750366210938,56.761783599853516,88.17243957519531,23.827999114990234,42.18295534096255,76.14199829101562,56.77220728324517,88.20015981839003,23.933332443237305,41.4351907527276,75.3499984741211,55.91538278023061,87.09130779114551,23.49066734313965,41.46811113859858,75.45999908447266,55.97021976045633,87.22991605702839,23.566667556762695,152648800,99100000,31182000,30199800,65100000
2018-02-27,41.94782638549805,75.5989990234375,55.49825668334961,87.04508209228516,23.39933204650879,42.43928220604922,76.33899688720703,56.77617062830554,88.56051612761406,23.999332427978516,41.893743640494264,75.3604965209961,55.4838649589421,87.04508209228516,23.333999633789062,42.114782147972065,76.2249984741211,56.63721343657824,88.46811298885646,23.75,155712400,96176000,35482000,25869100,71961000
2018-02-28,41.88432693481445,75.62249755859375,54.825294494628906,86.64775848388672,22.87066650390625,42.472193655045075,76.43499755859375,55.956807217246926,88.44040932124332,23.682666778564453,41.86786853243593,75.5999984741211,54.75134807618741,86.51839265540829,22.814666748046875,42.15239401571747,75.97550201416016,55.73348373273508,87.63648705863406,23.504667282104492,151128400,90300000,37652000,31167300,91045500
2018-03-01,41.15066146850586,74.67250061035156,53.07790756225586,85.79763793945312,22.062000274658203,42.27466210614424,75.92449951171875,55.09279431620366,87.38699759927515,23.244667053222656,40.6004191991454,73.25,52.95289531771841,84.86434985085366,22.004667282104492,41.983078984611204,75.68000030517578,54.98113256305667,86.85104942563119,23.000667572021484,195208000,136704000,50318000,37135600,103284000
2018-03-02,41.43519592285156,75.01249694824219,53.544403076171875,85.98243713378906,22.341333389282227,41.4563582618264,75.05249786376953,53.69720674894381,86.07484027438659,22.347999572753906,40.55104215533317,72.75050354003906,52.01562044752985,83.95877522013691,21.531333923339844,40.63334492430652,73.45500183105469,52.262021434049636,84.62408911229147,21.798667907714844,153816000,131752000,45432000,32830400,76392000
2018-03-05,41.57863998413086,76.18049621582031,54.140438079833984,86.52762603759766,22.22333335876465,41.79497451115357,76.26899719238281,54.44663989340734,87.10977220487422,22.516666412353516,41.03780187254719,74.05000305175781,53.05210041249542,85.25244569741216,21.952667236328125,41.20005366482767,74.71199798583984,53.35681421042986,85.32636398459223,22.159332275390625,113605600,104678000,24044000,23901600,57357000
2018-03-06,41.543373107910156,76.88200378417969,54.34539794921875,86.23193359375,21.8799991607666,41.91490537857853,77.10649871826172,54.682371016958115,87.31306523476196,22.424667358398438,41.41639545016359,76.4000015258789,54.08311720835521,85.8807988098912,21.802000045776367,41.83495635006942,76.66000366210938,54.55184970646674,87.17445698721748,22.25,95154000,91234000,30656000,22175800,64285500
2018-03-07,41.15773010253906,77.25,55.068965911865234,86.73091888427734,22.15333366394043,41.35055213514878,77.29499816894531,55.19700718420945,86.80484422281003,22.166667938232422,40.97901988709075,76.12550354003906,53.87006084639852,85.40953342011602,21.44933319091797,41.13656775887825,76.32599639892578,54.05407876274831,86.08408979688717,21.695999145507812,126814000,83482000,25850000,26716100,75109500
2018-03-08,41.60685348510742,77.59300231933594,55.880882263183594,87.25762176513672,21.940000534057617,41.64917816458234,77.74400329589844,55.96028853250133,87.87673059305398,22.219999313354492,41.16713034853489,77.26249694824219,55.22579568650959,86.64774831680646,21.751333236694336,41.26353775891226,77.5,55.35085715301563,87.10977109284765,22.19066619873047,95096400,77252000,27102000,25887800,53493000
2018-03-09,42.32170104980469,78.94450378417969,57.570213317871094,89.20733642578125,21.81133270263672,42.32640498834735,78.9469985961914,57.607932432783485,89.20733642578125,21.89933204650879,41.71267197249416,77.9540023803711,56.201530441352794,87.78430578081921,21.4913330078125,41.84670731055642,78.17500305175781,56.37716172666961,88.05227977077047,21.606666564941406,128740800,90686000,42560000,36937300,82602000
2018-03-12,42.73085021972656,79.91950225830078,57.79155349731445,89.41987609863281,23.034000396728516,42.88839804722147,80.2665023803711,58.414384615607105,89.82645835716865,23.1473331451416,42.37578006415326,79.33499908447266,57.44018869241683,88.74532686050642,21.766666412353516,42.39458863897228,79.62999725341797,57.75929801209454,89.17038692629052,21.907333374023438,128828400,103484000,43446000,26073700,123960000
2018-03-13,42.319358825683594,79.40899658203125,56.48485565185547,87.23912811279297,22.78933334350586,43.149426525755956,80.87699890136719,58.399992414312685,89.8541711923451,23.1473331451416,42.147702711190064,78.90049743652344,56.24465660147949,86.83254588774442,21.766666412353516,42.9354421325333,80.7979965209961,58.064507352149604,89.63240227409445,21.907333374023438,126774000,130638000,38144000,35387800,89487000
2018-03-14,41.95957565307617,79.55000305175781,57.0466423034668,86.72166442871094,21.775333404541016,42.44868119552501,80.3219985961914,57.49825697203579,88.16318013056865,22.65399932861328,41.811432091203834,79.54450225830078,56.64713847600175,86.39824992986404,21.595333099365234,42.401652575454754,79.8499984741211,56.834238469691485,87.89520610297913,22.450666427612305,117473600,85188000,25828000,32132000,119511000
2018-03-15,42.008968353271484,79.11599731445312,57.05110549926758,87.026611328125,21.706666946411133,42.3828544385123,79.84549713134766,57.621825747294984,87.39623096297869,22.190000534057617,41.87258638634152,78.90550231933594,56.30470475136143,85.77915122916339,21.406667709350586,41.97369777355768,79.75,57.06996505593682,86.42598030272626,21.958667755126953,90975200,81394000,27908000,27611000,98472000
2018-03-16,41.860816955566406,78.58399963378906,56.3637580871582,87.4146957397461,21.42333221435547,42.119476175310176,79.47200012207031,57.36375755971805,88.13545004280522,21.82666778564453,41.76675612179728,78.375,56.176661900201736,86.78634456914712,21.271333694458008,42.008956938165156,79.17250061035156,57.277407220953144,87.48862106567705,21.528667449951172,157618800,108500000,61840000,49081300,91759500
2018-03-19,41.221221923828125,77.24649810791016,54.58163070678711,85.83457946777344,20.90399932861328,41.731489890395046,78.08300018310547,55.681876319189044,86.76786732647221,21.383333206176758,40.83558143541535,76.26750183105469,54.04515372380921,85.11382516003054,20.64466667175293,41.696219316598324,77.72650146484375,55.58361427582476,86.62001667364949,21.100000381469727,133787200,131616000,56118000,33344100,112264500
2018-03-20,41.20711135864258,79.32550048828125,54.4769172668457,86.05635070800781,20.703332901000977,41.57393965755342,79.3499984741211,54.84862585971734,86.64773923536521,21.083332061767578,41.13656662699339,77.27050018310547,53.76971982195939,85.93622733679399,20.583999633789062,41.20711135864258,77.51699829101562,54.54093601850884,85.98243242951865,20.9913330078125,78597600,91632000,36638000,23075200,71464500
2018-03-21,40.2735710144043,79.09300231933594,54.1379508972168,85.45571899414062,21.101999282836914,41.17182942442222,79.5,54.90321116720323,86.9064699443105,21.496000289916992,40.271217251359516,78.15850067138672,53.853584689614806,85.20622279607512,20.679332733154297,41.16007137335858,79.32250213623047,54.230260869273366,85.87153659104085,20.683332443237305,148219600,95016000,37578000,24457100,89376000
2018-03-22,39.70451736450195,77.24600219726562,52.06351852416992,82.97005462646484,20.606666564941406,40.60512596898789,78.69249725341797,53.741932195970335,84.78118314242853,21.254667282104492,39.64573069596585,77.12000274658203,51.906201555780136,82.84993123736358,20.545333862304688,39.974934604546604,78.27349853515625,53.691313154587796,84.337638155909,20.926000595092773,165963200,126412000,53340000,38604700,74097000
